Delta,Chi_DMRG
-0.1,-2.4849691939721197e-6
-0.09620253164556962,-2.6268437061105487e-6
-0.09240506329113925,-2.7819876180501524e-6
-0.08860759493670886,-2.9521862074943783e-6
-0.08481012658227848,-3.139547541053389e-6
-0.0810126582278481,-3.346577418739116e-6
-0.07721518987341772,-3.5762763950231147e-6
-0.07341772151898734,-3.832266067149703e-6
-0.06962025316455696,-4.1189560171517314e-6
-0.06582278481012659,-4.441767323726253e-6
-0.0620253164556962,-4.807436269516074e-6
-0.05822784810126582,-5.224433568429276e-6
-0.05443037974683544,-5.703554290192869e-6
-0.05063291139240506,-6.258764912558945e-6
-0.04683544303797468,-6.9084480713854646e-6
-0.043037974683544304,-7.677281420370718e-6
-0.039240506329113925,-8.599161255062882e-6
-0.035443037974683546,-9.721917006544345e-6
-0.03164556962025317,-1.1115239477277328e-5
-0.027848101265822784,-1.2884702019988481e-5
-0.024050632911392405,-1.5198127638171854e-5
-0.020253164556962026,-1.8339131440114897e-5
-0.016455696202531647,-2.2827169360084554e-5
-0.012658227848101266,-2.9725036441163866e-5
-0.008860759493670886,-4.159136782178052e-5
-0.005063291139240506,-6.645463082577407e-5
-0.0012658227848101266,-0.0001464146100289554
0.002531645569620253,0.00032198881874023755
0.006329113924050633,0.0001037812209254696
0.010126582278481013,6.119704666218695e-5
0.013924050632911392,4.426195365780927e-5
0.017721518987341773,3.5314946440934136e-5
0.021518987341772152,2.9858312156960665e-5
0.02531645569620253,2.624085531621745e-5
0.02911392405063291,2.3717782852372693e-5
0.03291139240506329,2.190596978124404e-5
0.03670886075949367,2.059006365584537e-5
0.04050632911392405,1.964166245471688e-5
0.04430379746835443,1.8981663320261077e-5
0.04810126582278481,1.8561317141063682e-5
0.05189873417721519,1.8352285863443285e-5
0.05569620253164557,1.8341510966024543e-5
0.05949367088607595,1.8529031265757112e-5
0.06329113924050633,1.8928030783627037e-5
0.0670886075949367,1.9567139567300273e-5
0.07088607594936709,2.0495764687211704e-5
0.07468354430379746,2.1794429823529526e-5
0.07848101265822785,2.359458958522964e-5
0.08227848101265822,2.6118354348625417e-5
0.08607594936708861,2.9764798380682578e-5
0.08987341772151898,3.532048273058308e-5
0.09367088607594937,4.456528591489928e-5
0.09746835443037975,6.251404652601877e-5
0.10126582278481013,0.0001102220967048595
0.10506329113924051,0.0003921660151462447
0.10886075949367088,-0.0001246341777800808
0.11265822784810127,-5.982158106832003e-5
0.11645569620253164,-3.8152118214895836e-5
0.12025316455696203,-2.7493187605642788e-5
0.1240506329113924,-2.1197347997770066e-5
0.12784810126582277,-1.7061065296530842e-5
0.13164556962025317,-1.4147712661838341e-5
0.13544303797468354,-1.1992490012602275e-5
0.13924050632911392,-1.0338868225545639e-5
0.14303797468354432,-9.033822699677785e-6
0.1468354430379747,-7.980486355307903e-6
0.15063291139240506,-7.114597107005238e-6
0.15443037974683543,-6.3918731640910664e-6
0.15822784810126583,-5.780827983414838e-6
0.1620253164556962,-5.258474406133473e-6
0.16582278481012658,-4.8076489562731695e-6
0.16962025316455695,-4.415285392411761e-6
0.17341772151898735,-4.071267252214739e-6
0.17721518987341772,-3.767644663810188e-6
0.1810126582278481,-3.4980875298629144e-6
0.1848101265822785,-3.2574961679188164e-6
0.18860759493670887,-3.041718340313082e-6
0.19240506329113924,-2.8473412037044454e-6
0.1962025316455696,-2.671535064280306e-6
0.2,-2.511935413451738e-6
